jp,en,kr
手を繋いで歩いて行くフミルィルとシノノンの後ろから、ヤクトワルトがついてくる。,Jachdwalt comes up from behind Fumirul and Shinonon as they hold hands and walk together.,"손을 잡고 걸어가는 후미뤼르와 시노논의 뒤를, 야쿠토와루토가 따라간다."
確証はないが、山に逃げた奴等も多かったからな。,"I'm not sure, but a lot of our men did flee into the mountains.","확실하진 않지만, 산으로 도망친 놈들도 많았으니까."
は、はい。しっかりとお伝えいたしますわ！,"Ye-Yes, of course I'll tell him that!","하, 하이. 확실히 전해 드리겠습니다!"
あのう、お姉さま……,Sister?,"저기, 언니……"
やはりか,I thought so.,역시 그랬군
あっ、おい！　アトゥイ！　勝手に動くな！,"Wait, Atuy! Don't just run off like that!","앗, 어이! 아투이! 멋대로 움직이지 마!"
ブルブルブルブル……,"*tremble, tremble*",부들부들부들부들……
はぁ……なりたいなぁ……,"Man, I hope so...",하아…… 되고 싶네……
恋のためには、これはもう受けるしかないやん。,"How could I say no, for the sake of love?","사랑을 위해서라면, 이건 뭐 받아들일 수밖에 없잖아."
ね、ネコネさん……,Ne-Nekone...,"네, 네코네씨……"
むぅ……,Uhh...,으으……
この世の地獄を見た……,I have seen Denebokshiri on Earth...,이 세상의 지옥을 봤어……
さすがキウル殿、参りました。,"It's our loss, Sir Kiwru. You're as strong as we expected.","과연 키우루공, 제가 졌습니다."
まぁ、嬉しそうにしてるし……。気分を損ねたわけじゃなさそうだ。,"Well, whatever it is, she seems happy about it. I shouldn't ruin the mood by pressing the issue.","뭐, 기뻐하는 것 같고……. 기분이 상한 건 아닌 것 같네."
遠慮はいりません。私に傷をつけるくらいの覚悟で挑んできなさい！,No one is to hold back! You are to fight me as if your life depends on it!,사양은 필요 없습니다. 저에게 상처를 낼 각오로 덤벼 오세요!
"俺は<戦:いくさ>狂いなんでね。
大将がいたらまず間違いなく止められるが、
鬼の居ぬ間に洗濯とやらであんた等に喧嘩を吹っ掛けちまった。","I'm a battle freak, if you will. The Warmaster would've stopped me if he'd been here, so my only chance to challenge you would be in his absence.","난 싸움광이라서 말이야.
대장이 있었다면 틀림없이 말렸겠지만,
호랑이 없는 틈에 빨래라고, 당신들한테 시비를 걸어 버렸지."
"ううん、気にしないで。
それで、<態々:わざわざ>こんな所にまで呼び出したりして、どうかしたの？","Oh, don't worry about it. So what do you need us
for, this late in the evening?","아니, 신경 쓰지 마.
그래서, 굳이 이런 데까지 불러낸 걸 보니 무슨 일이라도 있는 거야?"
おう。キウルととぉちゃんががんばってくれたから、ぜんぜんだぞ！,"Oh yeah! Safe and sound, thanks to Kiwru and Daddy's great work.","응. 키우루랑 아빠가 열심히 해 줬으니까, 전혀 아니야!"
いつの間に、こんな……！？,When did they get here?!,"어느 틈에, 이렇게……!?"
クオンはそんなシスに近づくと、手を差し伸べた。,Kuon approaches Shis and offers her hand.,쿠온은 그런 시스에게 다가가 손을 내밀었다.
はっ、有り難きお言葉。,"It was my honor, Your Majesty.","핫, 황송한 말씀."
"そろそろ、こんな夜更けに、
このような場所へ連れ出してきた<理由:わけ>を聞かせてもらえぬか。","Are you going to explain why you've dragged me
into the forest in the middle of the night?","슬슬, 이런 깊은 밤에,
이런 곳으로 데리고 나온 이유를 들려주지 않겠느냐."
もう、ココポってば。早く追いかけないと……,"Oh, Cocopo! I'd better give chase...","정말, 코코포도 참. 얼른 쫓아가지 않으면……"
"次は学んだことを活かして、
自分達が思う荒々しい喋り方ってのを実践してみるじゃない。","Now let's apply it to real life. Talk rough, but in a way that's unique to you.","다음엔 배운 걸 살려서,
자기들이 생각하는 거친 말투라는 걸 직접 해 보는 거야."
あ～、そういえばそんな約束したなぁ。,"Oh dear... That was the deal, huh.","아～, 그러고 보니 그런 약속 했었지."
……私は先の戦いで多くのものを失いました。ですが、失わなかったものもあります。,"I lost a great many things in the last battle, but there were many things that I didn't lose as well.","……저는 지난 전투에서 많은 것을 잃었습니다. 하지만, 잃지 않은 것도 있습니다."
自身の目論見より更に良い方向へ転がったと、内心で満足げに頷くのであった。,He is quite pleased to learn that things are going even better than he had expected.,"자신의 속셈보다 더 좋은 방향으로 굴러갔다며, 속으로 만족스럽게 고개를 끄덕이는 것이었다."
あっ、躰の調子はどうですか？,"Oh, how are you feeling?","앗, 몸 상태는 좀 어떠세요?"
……そこまで！！,"And, stop!",……거기까지!!
それに？,And?,그리고?
俺達だって鬼じゃねぇんだ、降参した奴に追い打ちをかけたりしないから安心しな。,We're not monsters. Don't worry. We won't take advantage of someone who's already surrendered.,"우리도 귀신은 아니니까, 항복한 놈한테 확인사살 같은 건 안 하니 안심해."
手下達に続いて、検問官も深々と平伏する。,"The officer quickly prostrates himself, following his subordinates.","부하들에 이어, 검문관도 깊이 머리를 조아렸다."
免許皆伝だ。今のお前さん達は俺より『漢』らしいぜ。,"You pass with flying colors! Right now, you're more of a man than I am.",면허개전이다. 지금의 자네들은 나보다 더 '사나이'답다구.
兄さま、わたしも付き合うです。,"I'll come with you, Dear Brother.","오라버니, 저도 함께할게요."
まったく、まさか俺達がこんな目に遭うとはな。,I wasn't expecting things to turn out like this for us...,"정말이지, 설마 우리가 이런 꼴을 당하게 될 줄이야."
ノスリは渋々といった表情で頷いた。,"Nosuri nods, albeit reluctantly.",노스리는 마지못해 하는 표정으로 고개를 끄덕였다.
ふうおねぇちゃ、ゆきだ！　ゆきがたくさんだぞ！,"Look, Sister Fuu, snow! So much snow!","후우 언니, 눈이다! 눈이 엄청 많이 왔어!"
これならば、朝廷軍との戦いに微かな希望が見えてきたかもしれんな。,We may stand a sliver of a chance against the imperial army after all.,"이 정도라면, 조정군과의 싸움에도 희미한 희망이 보이기 시작했을지도 모르겠군."
聖上！,Your Majesty!,성상이시여!
何ですか、姉上。,"Yes, Dear Sister?","무슨 일이세요, 누님."
そうでありましょうか。,If you say so.,그런가요.
それから暫くして、ネコネが一冊の書物を持って現れた。,"A little while later, Nekone reappears with a book.","그리고 한동안 뒤, 네코네가 책 한 권을 들고 나타났다."
ごにょごにょごにょ……,"*mumble, mumble*",중얼중얼중얼……
そこまで言って、アンジュは集まった一同の顔を見渡す。,Anju gives her audience a sweeping glance.,"거기까지 말하고, 안쥬는 모인 일동의 얼굴을 둘러본다."
これでアトゥイさんに……,Now Atuy will...,이걸로 아투이씨에게……
わ、私ですか？,M-Me?,"저, 저인가요?"
……と言いたいところだが、ココポのおかげで勝てたようなものだからな。,"Nah, as much as I wish I could claim all the credit, Cocopo was definitely the MVP this time.","……라고 하고 싶은 참이지만, 코코포 덕분에 이긴 거나 마찬가지니까."
うむ。では頼んだぞ。,Excellent. I'm counting on you two.,음. 그럼 부탁하마.
アトゥイは名案を思いついたとばかりに手を打つ。,Atuy clasps her hands together.,아투이는 좋은 생각이 떠올랐다는 듯 손뼉을 친다.
それでも私に稽古をつけて欲しいと言ってくれますか？,Are you sure you still want me to train you?,그래도 제게 수련을 부탁하시겠습니까?
とぉちゃん、ざんねんだったな。でも、おとこはまけてつよくなるんだ。,"Daddy, you may have lost, but men grow stronger through defeat!","아빠, 아쉬웠지. 그래도 사내는 지면서 강해지는 거야."
あやや……力が入らない……全力だしすぎたぇ……,"Ooooh... I'm all out of juice... I got a bit
too carried away...",아야야…… 힘이 안 들어가…… 너무 전력을 다해 버렸네……
これもアトゥイさん達が私とネコネさんを二人きりにするために……,Did they do that to allow me to walk back alone with Nekone?,이것도 아투이씨들이 저와 네코네씨를 둘만 있게 해 주려고……
語尾を真似るんじゃなくて、例えば……,I didn't mean copy my interjections. More something like...,"말끝만 흉내 내는 게 아니라, 이를테면……"
これを引っ張って、出目を調整してたのか！　やっぱりイカサマじゃねえか！！,He must've been controlling the dice using this! He WAS cheating!,"이걸 잡아당겨서, 나온 눈을 조정하고 있었던 거냐! 역시 사기잖아!!"
私とルルティエさんに話があるとか……。一体、どのような話でしょう？,What did you call Rulutieh and me here to talk about?,저와 루루티에씨에게 할 말이 있다고 하셨는데……. 대체 어떤 이야기일까요?
